"meanImp";"medianImp";"minImp";"maxImp";"normHits";"decision"
"P3_CD45RANEGCD62LHIGHCD27POSCD4POS_CENTRAL_MEMORY_TCELLS";4.24211098187658;4.37954051023985;0.204056839272679;8.38835101902606;0.787878787878788;"Confirmed"
"P3_CD45RANEGCD62LHIGHCD27POSCD8POS_CENTRAL_MEMORYTCELLS";0.693327415300913;0.664967012512811;-1.79502546063461;3.45037657889069;0.161616161616162;"Rejected"
"P3_CD45RANEGCD62LLOWCD27NEGCD4POS_EFFECTOR_MEMORY_TCELLS";2.15887305574852;2.20673390042596;-1.8586545014491;7.85640027804419;0.454545454545455;"Confirmed"
"P3_CD45RANEGCD62LLOWCD27NEGCD8POS_EFFECTOR_MEMORY_TCELLS";2.61163755156341;2.63166405298944;-0.00730044154291261;5.75622119078129;0.585858585858586;"Rejected"
"P3_CD45RAPOSCD62LHIGHCD27POSCD4POS_NAIVE_TCELLS";-1.15128206815886;-0.952784874292817;-2.94718031054011;-0.10089917229764;0;"Rejected"
"P3_CD45RAPOSCD62LHIGHCD27POSCD8POS_NAIVE_TCELLS";0.902828307954885;0.807335092368398;-1.44430696498076;3.16552637960632;0.0505050505050505;"Rejected"
"P3_CD45RAPOSCD62LLOWCD27NEGCD4POS_EFFECTOR_T_CELLS";3.60862231336145;3.47953097571395;-0.60270504683339;7.85997815278792;0.707070707070707;"Confirmed"
"P3_CD45RAPOSCD62LLOWCD27NEGCD8POS_EFFECTOR_TCELLS";-0.378743795301948;-0.220480310445108;-2.02540104004119;1.36244482878432;0;"Rejected"
"P3_CD8POS_CD38POS_ACTIVATED_TCELLS";0.0118640701231768;-0.250046429467442;-1.97249044857658;2.0706852482637;0.0202020202020202;"Rejected"
"P3_CD8POS_CD57POS_CYTOTOXIC_TCELLS";-1.6667952884719;-2.04628131376565;-2.69592250036294;-0.0366357095543777;0;"Rejected"
